category,time,layer,mean,sd,se,ci95,N_eff
Seeding,1994-07-01,1994,12.126097523134746,6.328226001965526,0.11069154759222297,0.216955433280757,3268.39880397358
Seeding,1995-07-01,1995,10.576542392793115,6.161978090215409,0.10778358592494368,0.21125582841288962,3268.39880397358
Seeding,1996-07-01,1996,10.885129748197901,6.28268254491344,0.10989491426366776,0.2153940319567888,3268.39880397358
Seeding,1997-07-01,1997,11.882623665982363,6.586724667097164,0.1152131334655874,0.2258177415925513,3268.39880397358
Seeding,1998-07-01,1998,11.302349295202143,6.432592142644872,0.11251709074198346,0.22053349785428758,3268.39880397358
Seeding,1999-07-01,1999,11.79113012891573,6.793694788119235,0.11883339655261478,0.23291345724312496,3268.39880397358
Seeding,2000-07-01,2000,13.415553810683882,6.89239107907318,0.120559764287255,0.2362971380030198,3268.39880397358
Seeding,2001-07-01,2001,14.007101630597962,6.579300266879175,0.11508326794722284,0.22556320517655676,3268.39880397358
Seeding,2002-07-01,2002,14.115480382356354,6.587186088852847,0.11522120452503018,0.22583356086905915,3268.39880397358
Seeding,2003-07-01,2003,13.73701767567267,6.295969637505712,0.11012732834647437,0.21584956355908977,3268.39880397358
Seeding,2004-07-01,2004,12.379727909900815,5.336955021979264,0.09335251469044947,0.18297092879328097,3268.39880397358
Seeding,2005-07-01,2005,11.660632903401618,5.113534809545611,0.08944451123577148,0.1753112420221121,3268.39880397358
Seeding,2006-07-01,2006,11.942809995963373,5.1284049647622165,0.08970461580431113,0.17582104697644982,3268.39880397358
Seeding,2007-07-01,2007,12.950523438428053,5.215526290602872,0.09122851750797868,0.1788078943156382,3268.39880397358
Seeding,2008-07-01,2008,13.315733114465905,5.257923794945203,0.09197012271743911,0.18026144052618065,3268.39880397358
Seeding,2009-07-01,2009,13.053891066238034,5.4375958262023865,0.09511289530374034,0.18642127479533108,3268.39880397358
Seeding,2010-07-01,2010,12.147434152328966,4.707543978313326,0.08234303391757891,0.16139234647845466,3268.39880397358
Seeding,2011-07-01,2011,11.119305814651211,4.553706056933474,0.07965214430797624,0.15611820284363342,3268.39880397358
Seeding,2012-07-01,2012,13.130900455550563,4.210840214883467,0.07365483152849615,0.14436346979585246,3268.39880397358
Seeding,2013-07-01,2013,16.117760304406122,4.521754487128614,0.07909325644452092,0.155022782631261,3268.39880397358
Seeding,2014-07-01,2014,20.492236935479998,5.919634390723366,0.10354457816231526,0.2029473731981379,3268.39880397358
Seeding,2015-07-01,2015,20.393639772773344,5.448583782568553,0.09530509354297342,0.1867979833442279,3268.39880397358
Seeding,2016-07-01,2016,24.38160024426068,6.802298406541518,0.11898388862381447,0.23320842170267636,3268.39880397358
Seeding,2017-07-01,2017,24.517988886318577,7.226940271281392,0.12641160456915282,0.24776674495553952,3268.39880397358
Seeding,2018-07-01,2018,22.621733329338714,7.060121010184287,0.1234936490199524,0.2420475520791067,3268.39880397358
Seeding,2019-07-01,2019,20.477312373143025,7.166653391426978,0.12535708343976856,0.24569988354194638,3268.39880397358
Seeding,2020-07-01,2020,17.800029257369015,6.799041606086774,0.11892692158717218,0.23309676631085746,3268.39880397358
Seeding,2021-07-01,2021,17.035148571690534,6.435044249317242,0.1125599823015361,0.22061756531101076,3268.39880397358
Seeding,2022-07-01,2022,15.209800129205805,5.167562987356187,0.09038955691106547,0.1771635315456883,3268.39880397358
Seeding,2023-07-01,2023,13.446741359358262,4.675149753783526,0.08177640326229893,0.1602817503941059,3268.39880397358
